report_type,model_version,horizon,label,n,avg_future_excess_return,median_future_excess_return,hit_rate_pct,avg_max_drawdown_after,component,pearson_ic,spearman_ic,spearman_ic_recent,n_recent,suggested_note,decile,n_days,avg_names_per_day,aggregation,top_decile_avg_excess,bottom_decile_avg_excess,spread_avg,spread_median,spread_std_daily,pct_days_spread_positive,spread_t_stat_overlap_adj,decile_count,min_names_per_day,days_considered,days_skipped_degenerate_ties,sample_adequate,selection,n_names_target,avg_excess_vs_universe,pct_days_positive
bucket,v0.5_expanded_universe,5d,decent,83316.0,0.00021331994551173884,-0.0009774118623237515,48.58610591002929,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket,v0.5_expanded_universe,5d,strong,2249.0,-0.0011349365915177506,-0.0012760822532478233,48.42152067585593,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket,v0.5_expanded_universe,5d,watchlist,158419.0,-0.0005271619664093227,-0.0013376319600324482,48.186770526262634,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket,v0.5_expanded_universe,5d,weak,250709.0,0.0008308331890198275,-0.0002486493658190314,49.71660371187313,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket,v0.5_expanded_universe,20d,decent,114215.0,0.001478974530394169,-0.004650598810341022,47.22759707569059,8.41459405669407,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket,v0.5_expanded_universe,20d,strong,6110.0,0.00375374805488334,-0.001822829004349269,47.79050736497545,8.120687720863465,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket,v0.5_expanded_universe,20d,watchlist,128370.0,0.001870855666271592,-0.0037764908058486313,47.78375009737478,8.329228308400173,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket,v0.5_expanded_universe,20d,weak,223204.0,0.0009354953746773861,-0.0038131528512972412,47.93552086880163,8.919048791437529,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket,v0.5_expanded_universe,60d,decent,103620.0,0.007658649464072759,-0.01161612166470083,46.23045744064853,15.485624944143026,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket,v0.5_expanded_universe,60d,strong,7149.0,0.023152812656308454,-0.006092643978326651,48.2864736326759,15.230771091119854,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket,v0.5_expanded_universe,60d,watchlist,106510.0,0.006126745339152125,-0.011056803314224484,46.382499295840766,14.613212906598504,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket,v0.5_expanded_universe,60d,weak,196612.0,-0.0010402354457478805,-0.017426062965871347,45.19408784814762,16.029425202335215,,,,,,,,,,,,,,,,,,,,,,,,,,
