model_version,event_group,window_days,horizon,n_days,n_event_name_days,mean_excess_spread_pct,median_excess_spread_pct,pct_of_days_positive,hit_rate_pct,overlap_adjusted_t,effective_independent_n,min_detectable_spread_pct,survivorship_biased,generated_at,p_value,family_size,survives_bh_fdr,n_nominally_significant,expected_false_positives_at_alpha
v0.5_expanded_universe,agreement,5,1,555,17053,-0.02263037244984274,-0.01781295252851849,47.74774774774775,49.21552626817789,-1.1260624428963113,555.0,0.0562713402434241,True,2026-09-11T17:58:35.476585+00:00,0.2606266451733721,105,False,3,5.25
v0.5_expanded_universe,agreement,30,1,555,83449,-0.005296798689534841,0.004576268634177852,51.53153153153153,49.397821764889066,-0.49130667507990167,555.0,0.03018692210580198,True,2026-09-11T17:58:35.913664+00:00,0.623404136874836,105,False,3,5.25
v0.5_expanded_universe,agreement,90,1,555,212606,-0.0069337668232329714,-0.0024099898769612636,49.549549549549546,49.48930172210955,-0.9468246867393674,555.0,0.020504901674998854,True,2026-09-11T17:58:36.353507+00:00,0.34414091205808295,105,False,3,5.25
v0.5_expanded_universe,disclosure,5,1,552,63692,-0.007756689974513637,-0.009690684528689496,48.55072463768116,49.43280435215142,-0.6822735415286937,552.0,0.031832880225686984,True,2026-09-11T17:58:36.824121+00:00,0.49535271075191445,105,False,3,5.25
v0.5_expanded_universe,disclosure,30,1,552,272147,-0.004094042260871589,-0.0010226657329835233,49.81884057971014,49.58317119361972,-0.5424150471265764,552.0,0.02113385015988578,True,2026-09-11T17:58:37.352609+00:00,0.5877519226202779,105,False,3,5.25
v0.5_expanded_universe,disclosure,90,1,552,530086,0.00273426158109664,0.005871053499303605,51.81159420289855,49.67325947705086,0.36930989541379206,552.0,0.020730374469096008,True,2026-09-11T17:58:37.794687+00:00,0.7120386302029142,105,False,3,5.25
v0.5_expanded_universe,earnings,5,1,541,51041,-0.05366055259872379,-0.05236967477019864,44.17744916820702,48.24242136541858,-2.126995282225186,541.0,0.07063934204839464,True,2026-09-11T17:58:38.227968+00:00,0.0338731368386648,105,False,3,5.25
v0.5_expanded_universe,earnings,30,1,533,280664,-0.01979096530867458,-0.019627461048609577,48.405253283302066,48.99852034000323,-1.461242267052664,533.0,0.03792300846598194,True,2026-09-11T17:58:38.665763+00:00,0.1445393353941361,105,False,3,5.25
v0.5_expanded_universe,earnings,90,1,516,728434,-0.03365697743779061,-0.032295843048247064,46.89922480620155,49.615018996056214,-2.0359492541473028,516.0,0.04628776313252619,True,2026-09-11T17:58:39.094823+00:00,0.04226667414223131,105,False,3,5.25
v0.5_expanded_universe,material,5,1,550,123523,-0.004902351037932175,-0.013113052352393028,46.18181818181818,49.461222042684,-0.594107698692276,550.0,0.02310453632636716,True,2026-09-11T17:58:39.561915+00:00,0.5526848077687231,105,False,3,5.25
