condition,target,horizon,benchmark,n_triggers,n_baseline_days,trigger_rate_pct,effective_independent_n,mean_return_pct,baseline_return_pct,lift_pct,hit_rate_pct,baseline_hit_rate_pct,mean_tradable_pct,t_stat,p_value,below_inference_floor,min_detectable_effect_pct,underpowered,note,in_sample_lift_pct,oos_lift_pct,oos_n_triggers,sign_held_oos,family,family_size,family_untestable_rows,alpha,bonferroni_threshold,survives_bonferroni,survives_bh_fdr,expected_false_positives_at_alpha,n_nominally_significant,family_max_abs_t,family_null_p,family_null_max_abs_t_p95,generated_at
dow=Mon,SPY,1,,107,553,19.349005424954793,107,0.059613716450227394,0.07192074479756184,-0.01230702834733443,50.467289719626166,56.78119349005425,0.04642543500876991,-0.16947904853387688,0.8657428658653599,False,0.20332707594619476,False,,-0.004481167627597309,-0.023907428509823504,43,True,day_of_week,10,0,0.05,0.005,False,False,0.5,0,1.4423758989061513,0.499001996007984,2.370341727750006,2026-09-09T21:39:15.613070+00:00
dow=Mon,SPY,5,,107,549,19.48998178506375,95,0.3740171518161631,0.35616795874318513,0.017849193072977828,57.943925233644855,59.92714025500911,0.35731923475301275,0.07590840419987278,0.9396532943261302,False,0.6583953533358784,False,,0.09916081921281375,-0.10276693643745541,43,False,day_of_week,10,0,0.05,0.005,False,False,0.5,0,1.4423758989061513,0.499001996007984,2.370341727750006,2026-09-09T21:39:15.613100+00:00
dow=Tue,SPY,1,,115,553,20.795660036166364,115,0.19365128608746077,0.07192074479756184,0.1217305412898989,60.86956521739131,56.78119349005425,0.06139937978381131,1.0153119222547504,0.3121071806864517,False,0.3357052233315506,False,,0.17165037273915254,0.04685851335494331,46,True,day_of_week,10,0,0.05,0.005,False,False,0.5,0,1.4423758989061513,0.499001996007984,2.370341727750006,2026-09-09T21:39:15.613109+00:00
dow=Tue,SPY,5,,114,549,20.76502732240437,95,0.4208811427182995,0.35616795874318513,0.06471318397511436,58.77192982456141,59.92714025500911,0.2853248551279914,0.2791784589725149,0.78072118956404,False,0.6490361605877302,False,,0.07897810690791228,0.042807320092588884,45,True,day_of_week,10,0,0.05,0.005,False,False,0.5,0,1.4423758989061513,0.499001996007984,2.370341727750006,2026-09-09T21:39:15.613115+00:00
dow=Wed,SPY,1,,113,553,20.43399638336347,113,-0.07013809607837507,0.07192074479756184,-0.14205884087593693,53.09734513274337,56.78119349005425,-0.12736988958742043,-1.4423758989061513,0.1519870425200558,False,0.2757705219244682,False,,-0.15805718782786476,-0.11860083787638837,46,True,day_of_week,10,0,0.05,0.005,False,False,0.5,0,1.4423758989061513,0.499001996007984,2.370341727750006,2026-09-09T21:39:15.613121+00:00
dow=Wed,SPY,5,,112,549,20.40072859744991,94,0.41100481160378216,0.35616795874318513,0.054836852860597,61.60714285714286,59.92714025500911,0.35526967685523103,0.27117780825756704,0.786855281094453,False,0.5662085293640066,False,,0.05427106936939565,0.05608002352162872,45,True,day_of_week,10,0,0.05,0.005,False,False,0.5,0,1.4423758989061513,0.499001996007984,2.370341727750006,2026-09-09T21:39:15.613126+00:00
dow=Thu,SPY,1,,108,553,19.529837251356238,108,-0.02168686170370734,0.07192074479756184,-0.09360760650126919,53.70370370370371,56.78119349005425,-0.021863119922092063,-0.880192201728196,0.3807278471496579,False,0.29777734645789417,False,,-0.12638884777217899,-0.04408652142962921,43,True,day_of_week,10,0,0.05,0.005,False,False,0.5,0,1.4423758989061513,0.499001996007984,2.370341727750006,2026-09-09T21:39:15.613131+00:00
dow=Thu,SPY,5,,107,549,19.48998178506375,93,0.28365187912179063,0.35616795874318513,-0.07251607962139446,60.747663551401864,59.92714025500911,0.28298284735869883,-0.35669956304818395,0.7221335399643403,False,0.5692326091032429,False,,-0.14856774628441066,0.04501052212732468,42,False,day_of_week,10,0,0.05,0.005,False,False,0.5,0,1.4423758989061513,0.499001996007984,2.370341727750006,2026-09-09T21:39:15.613136+00:00
dow=Fri,SPY,1,,110,553,19.89150090415913,110,0.1944672021243287,0.07192074479756184,0.1225464573267668,65.45454545454545,56.78119349005425,0.1456530248746212,1.4174166927034422,0.15921332401314436,False,0.24208130345953122,False,,0.10817948804213832,0.1447415529158822,43,True,day_of_week,10,0,0.05,0.005,False,False,0.5,0,1.4423758989061513,0.499001996007984,2.370341727750006,2026-09-09T21:39:15.613141+00:00
dow=Fri,SPY,5,,109,549,19.854280510018214,94,0.28580398045998034,0.35616795874318513,-0.07036397828320479,60.550458715596335,59.92714025500911,0.23842436844663983,-0.3247156105918488,0.7461256048838298,False,0.6067436635826438,False,,-0.08619462605266949,-0.045747479170877146,42,True,day_of_week,10,0,0.05,0.005,False,False,0.5,0,1.4423758989061513,0.499001996007984,2.370341727750006,2026-09-09T21:39:15.613145+00:00
dow=Mon,IJH,1,SPY,98,510,19.215686274509803,98,-0.004668735084812484,-0.015801557445264715,0.01113282236045224,47.95918367346938,46.666666666666664,0.0011044054803900384,0.18055928627347217,0.8570902204514013,False,0.17264081650197602,False,,-0.004711568990843635,0.0319174104710517,42,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338361+00:00
dow=Tue,IJH,1,SPY,106,510,20.784313725490197,106,-0.05298125091045296,-0.015801557445264715,-0.03717969346518823,44.339622641509436,46.666666666666664,-0.09261706001792781,-0.6517093891864465,0.5160126265417595,False,0.1597385942720312,False,,-0.03167316633599947,-0.04453654608714722,45,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338397+00:00
dow=Wed,IJH,1,SPY,105,510,20.58823529411765,105,0.022046262915499434,-0.015801557445264715,0.037847820360764166,49.523809523809526,46.666666666666664,0.0560280394744393,0.7101151561879989,0.47922198994731346,False,0.14923480520965487,False,,-0.01658530768666385,0.10629848118733723,46,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338409+00:00
dow=Thu,IJH,1,SPY,100,510,19.607843137254903,100,0.02080260380271337,-0.015801557445264715,0.036604161247978086,48.0,46.666666666666664,-0.01076835491960959,0.616712335822476,0.5388401346050008,False,0.1661903703574391,False,,0.028286269242883817,0.048711259515938875,42,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338417+00:00
dow=Fri,IJH,1,SPY,101,510,19.80392156862745,101,-0.06317191731350638,-0.015801557445264715,-0.04737035986824169,43.56435643564357,46.666666666666664,-0.08151729739446299,-0.9215447509698688,0.3589840438177756,False,0.14392899258715813,False,,0.025997297413713687,-0.14933308809879745,42,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338426+00:00
dow=Mon,IJR,1,SPY,98,510,19.215686274509803,98,0.02029442743303971,-0.00909626219750119,0.029390689630540933,45.91836734693878,46.07843137254902,0.0361206806704818,0.39083431208115205,0.6967768009928833,False,0.21055963722148135,False,,0.011510729309867336,0.052715256865203876,42,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338434+00:00
dow=Tue,IJR,1,SPY,106,510,20.784313725490197,106,-0.0189781527859626,-0.00909626219750119,-0.009881890588461366,44.339622641509436,46.07843137254902,-0.06695311030890436,-0.1307453833534698,0.8962269006775607,False,0.21162730903383384,False,,-0.02100574960632634,0.005359541046043731,45,False,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338442+00:00
dow=Wed,IJR,1,SPY,105,510,20.58823529411765,105,0.02061028932347529,-0.00909626219750119,0.02970655152097651,50.476190476190474,46.07843137254902,0.08770176269628172,0.43771764205655894,0.6624986892408053,False,0.19002739726900586,False,,-0.036904296701114656,0.1130796666998522,46,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338450+00:00
dow=Thu,IJR,1,SPY,100,510,19.607843137254903,100,-0.0019720893558512476,-0.00909626219750119,0.007124172841649991,44.0,46.07843137254902,0.00040871075064818907,0.09355394044206133,0.9256525734126975,False,0.21322120546032716,False,,0.005479789879480575,0.010332041698579637,42,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338457+00:00
dow=Fri,IJR,1,SPY,101,510,19.80392156862745,101,-0.06517955304189349,-0.00909626219750119,-0.05608329084439228,45.54455445544555,46.07843137254902,-0.0757119188227424,-0.8770784995970615,0.38254622865006327,False,0.1790412311286173,False,,0.04230975554219029,-0.19263882273676372,42,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338464+00:00
dow=Mon,QQQ,1,SPY,107,553,19.349005424954793,107,-0.004234097104195869,0.014714396413050085,-0.018948493517245934,55.140186915887845,53.52622061482821,0.0026836677187212295,-0.35197863667223733,0.7255530644494779,False,0.15073580132561903,False,,0.023693259226241832,-0.08242520126982279,43,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338474+00:00
dow=Tue,QQQ,1,SPY,115,553,20.795660036166364,115,0.047196141445438725,0.014714396413050085,0.03248174503238868,56.52173913043478,53.52622061482821,0.01286582585044713,0.6785772900437212,0.4987809412231585,False,0.13402877966167773,False,,0.04222189031144467,0.017869912501010683,46,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338483+00:00
dow=Wed,QQQ,1,SPY,113,553,20.43399638336347,113,-0.01679822045999222,0.014714396413050085,-0.03151261687304227,48.67256637168141,53.52622061482821,-0.08677088103644795,-0.6099178386671003,0.5431517160997923,False,0.1446675628267337,False,,-0.02724925650067788,-0.03775493719579738,46,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338491+00:00
dow=Thu,QQQ,1,SPY,108,553,19.529837251356238,108,-0.03138937492373134,0.014714396413050085,-0.046103771336781396,49.074074074074076,53.52622061482821,-0.01798407483961044,-1.0069482292680672,0.3162313671250676,False,0.12819979815329885,False,,-0.05557206731370518,-0.03178454716056382,43,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338500+00:00
dow=Fri,QQQ,1,SPY,110,553,19.89150090415913,110,0.07682549767347553,0.014714396413050085,0.06211110126042547,58.18181818181818,53.52622061482821,0.037327138454796446,1.38582518140571,0.168629122582047,False,0.12549280086885478,False,,0.01504784386518061,0.13548210042946077,43,True,sector_day_of_week,70,0,0.05,0.0007142857142857143,False,False,3.5,5,2.7338650340299973,0.16167664670658682,3.0344326254085154,2026-09-09T21:39:19.338508+00:00
