condition,target,horizon,benchmark,n_triggers,n_baseline_days,trigger_rate_pct,effective_independent_n,mean_return_pct,baseline_return_pct,lift_pct,hit_rate_pct,baseline_hit_rate_pct,mean_tradable_pct,t_stat,p_value,below_inference_floor,min_detectable_effect_pct,underpowered,note,in_sample_lift_pct,oos_lift_pct,oos_n_triggers,sign_held_oos,family,family_size,family_untestable_rows,alpha,bonferroni_threshold,survives_bonferroni,survives_bh_fdr,expected_false_positives_at_alpha,n_nominally_significant,family_max_abs_t,family_null_p,family_null_max_abs_t_p95,generated_at
"turn_of_month(-1,+1)",SPY,1,,55,553,9.945750452079565,55,0.00830199121722613,0.07192074479756184,-0.06361875358033571,63.63636363636363,56.78119349005425,0.13958904298288188,-0.5530288899203403,0.5825259861154841,False,0.32210344390977236,False,,-0.13080269805288394,0.03716488236741137,22,False,calendar_seasonality,16,0,0.05,0.003125,False,False,0.8,0,1.8728757519208252,0.810379241516966,3.215137286953001,2026-09-09T21:39:19.928501+00:00
"turn_of_month(-1,+1)",SPY,5,,54,549,9.836065573770492,28,-0.02584115610010682,0.35616795874318513,-0.38200911484329214,61.111111111111114,59.92714025500911,0.10645294800069532,-0.6867101731530795,0.49812130634385676,False,1.5576083817863875,False,,-0.7318566862824328,0.1673465748290934,21,False,calendar_seasonality,16,0,0.05,0.003125,False,False,0.8,0,1.8728757519208252,0.810379241516966,3.215137286953001,2026-09-09T21:39:19.928518+00:00
"turn_of_month(-3,+3)",SPY,1,,164,553,29.65641952983725,164,-0.012978256651509807,0.07192074479756184,-0.08489900144907163,55.487804878048784,56.78119349005425,0.03174331528222613,-1.0285793485013042,0.3052012800758305,False,0.23111216884119584,False,,-0.20389150385814003,0.09184625020945104,66,False,calendar_seasonality,16,0,0.05,0.003125,False,False,0.8,0,1.8728757519208252,0.810379241516966,3.215137286953001,2026-09-09T21:39:19.928524+00:00
"turn_of_month(-3,+3)",SPY,5,,161,549,29.326047358834245,53,0.1742432198999611,0.35616795874318513,-0.18192473884322402,63.975155279503106,59.92714025500911,0.22179741612202614,-0.5321237470297621,0.5969066530712904,False,0.9572759562119988,False,,-0.5185730046943414,0.3415004773375396,63,False,calendar_seasonality,16,0,0.05,0.003125,False,False,0.8,0,1.8728757519208252,0.810379241516966,3.215137286953001,2026-09-09T21:39:19.928528+00:00
month=01,SPY,5,,40,549,7.285974499089253,8,0.2580210168834701,0.35616795874318513,-0.098146941859715,55.00000000000001,59.92714025500911,0.2266053374585708,-0.17747916854798018,0.8641584817666347,False,1.5484151715129808,False,,0.1608175557277692,-0.3519392539830266,20,True,calendar_seasonality,16,0,0.05,0.003125,False,False,0.8,0,1.8728757519208252,0.810379241516966,3.215137286953001,2026-09-09T21:39:19.928532+00:00
month=02,SPY,5,,38,549,6.9216757741347905,8,-0.6452551742643556,0.35616795874318513,-1.001423133007541,42.10526315789473,59.92714025500911,-0.6209141087423563,-1.8728757519208252,0.10324081595881766,False,1.4971547202452389,False,,-1.4015248741495698,-0.5961492064013393,19,True,calendar_seasonality,16,0,0.05,0.003125,False,False,0.8,0,1.8728757519208252,0.810379241516966,3.215137286953001,2026-09-09T21:39:19.928536+00:00
month=03,SPY,5,,43,549,7.832422586520948,10,-1.1667805508722227,0.35616795874318513,-1.5229485096154076,30.23255813953488,59.92714025500911,-1.051530028488496,-1.6505695778602136,0.13322310580594895,False,2.5835056480631926,False,,-2.132201415388729,-0.9357731100451895,22,True,calendar_seasonality,16,0,0.05,0.003125,False,False,0.8,0,1.8728757519208252,0.810379241516966,3.215137286953001,2026-09-09T21:39:19.928540+00:00
month=04,SPY,5,,42,549,7.6502732240437155,10,1.7924814826493503,0.35616795874318513,1.436313523906165,83.33333333333334,59.92714025500911,1.890581793379861,1.3040482696380227,0.22458073481425045,False,3.0839946346875635,False,,0.9652469509628071,1.9125522823136953,21,True,calendar_seasonality,16,0,0.05,0.003125,False,False,0.8,0,1.8728757519208252,0.810379241516966,3.215137286953001,2026-09-09T21:39:19.928544+00:00
month=05,SPY,5,,41,549,7.468123861566484,9,1.1909152502009872,0.35616795874318513,0.8347472914578021,73.17073170731707,59.92714025500911,1.1103092641010033,1.3794551602835758,0.2050839567295638,False,1.6943591088537928,False,,1.0513053892557698,0.6120454897794456,20,True,calendar_seasonality,16,0,0.05,0.003125,False,False,0.8,0,1.8728757519208252,0.810379241516966,3.215137286953001,2026-09-09T21:39:19.928548+00:00
month=06,SPY,5,,46,549,8.37887067395264,10,0.5718903521922151,0.35616795874318513,0.21572239344902988,69.56521739130434,59.92714025500911,0.4339227136049931,0.38883301894950345,0.7064387504111262,False,1.5534244064178258,False,,0.7787539619276083,-0.4512400862457272,21,False,calendar_seasonality,16,0,0.05,0.003125,False,False,0.8,0,1.8728757519208252,0.810379241516966,3.215137286953001,2026-09-09T21:39:19.928553+00:00
