condition,target,horizon,benchmark,n_triggers,n_baseline_days,trigger_rate_pct,effective_independent_n,mean_return_pct,baseline_return_pct,lift_pct,hit_rate_pct,baseline_hit_rate_pct,mean_tradable_pct,t_stat,p_value,below_inference_floor,min_detectable_effect_pct,underpowered,note,in_sample_lift_pct,oos_lift_pct,oos_n_triggers,sign_held_oos,family,family_size,family_untestable_rows,alpha,bonferroni_threshold,survives_bonferroni,survives_bh_fdr,expected_false_positives_at_alpha,n_nominally_significant,family_max_abs_t,family_null_p,family_null_max_abs_t_p95,generated_at
SPY:up_streak>=2,SPY,1,,175,553,31.645569620253166,175,0.0754634283329989,0.07192074479756184,0.0035426835354370615,57.14285714285714,56.78119349005425,0.05157488572834712,0.058780424028642565,0.9531944530647479,False,0.1687553988108385,False,,0.011533513256156334,-0.00884898431851003,69,False,streaks,21,3,0.05,0.002380952380952381,False,False,1.05,0,1.800240320745358,0.5588822355289421,3.03622636798472,2026-09-09T21:39:20.813925+00:00
SPY:down_streak>=2,SPY,1,,99,553,17.90235081374322,99,0.25737384653004813,0.07192074479756184,0.18545310173248628,59.59595959595959,56.78119349005425,0.10940391109779593,1.321263237695044,0.18949017506871624,False,0.3930092581375613,False,,0.23825659642665037,0.12838291655846704,47,True,streaks,21,3,0.05,0.002380952380952381,False,False,1.05,0,1.800240320745358,0.5588822355289421,3.03622636798472,2026-09-09T21:39:20.813953+00:00
SPY:up_streak>=2,SPY,5,,174,549,31.693989071038253,73,0.30773598455566076,0.35616795874318513,-0.0484319741875244,59.77011494252874,59.92714025500911,0.2818124811526831,-0.20252518447200651,0.840077371272926,False,0.6695934042899863,False,,-0.07839654916188794,-0.0020042481095507735,68,True,streaks,21,3,0.05,0.002380952380952381,False,False,1.05,0,1.800240320745358,0.5588822355289421,3.03622636798472,2026-09-09T21:39:20.813960+00:00
SPY:down_streak>=2,SPY,5,,98,549,17.85063752276867,54,0.7023805791658715,0.35616795874318513,0.3462126204226864,64.28571428571429,59.92714025500911,0.5516803053079904,1.0626561016758809,0.2927560256438072,False,0.9122380567473519,False,,0.5428379325365501,0.12783971100684813,46,True,streaks,21,3,0.05,0.002380952380952381,False,False,1.05,0,1.800240320745358,0.5588822355289421,3.03622636798472,2026-09-09T21:39:20.813967+00:00
SPY:up_streak>=2,SPY,10,,172,544,31.61764705882353,42,0.5801251689415767,0.7042271542494377,-0.12410198530786107,58.139534883720934,62.5,0.5561841547197972,-0.2833888022769978,0.7783048803396113,False,1.2261795669765454,False,,-0.22528563114228034,0.037167327448489024,66,False,streaks,21,3,0.05,0.002380952380952381,False,False,1.05,0,1.800240320745358,0.5588822355289421,3.03622636798472,2026-09-09T21:39:20.813974+00:00
SPY:down_streak>=2,SPY,10,,97,544,17.830882352941178,37,1.1386898052269494,0.7042271542494377,0.43446265097751186,71.1340206185567,62.5,0.9786434059900521,0.8630618334873243,0.3938170283949681,False,1.409511318350865,False,,0.5478730344441604,0.3161053012545063,45,True,streaks,21,3,0.05,0.002380952380952381,False,False,1.05,0,1.800240320745358,0.5588822355289421,3.03622636798472,2026-09-09T21:39:20.813981+00:00
SPY:up_streak>=3,SPY,1,,100,553,18.083182640144667,100,0.07853821036867448,0.07192074479756184,0.00661746557111266,57.99999999999999,56.78119349005425,0.04267550680874055,0.07842002961578498,0.9376522267978382,False,0.23627769193529877,False,,-0.002598326909959334,0.02206106488617486,36,True,streaks,21,3,0.05,0.002380952380952381,False,False,1.05,0,1.800240320745358,0.5588822355289421,3.03622636798472,2026-09-09T21:39:20.813987+00:00
SPY:down_streak>=3,SPY,1,,40,553,7.233273056057866,40,0.607706124138766,0.07192074479756184,0.5357853793412043,70.0,56.78119349005425,0.2601591394220054,1.800240320745358,0.07956114723534877,False,0.8333326639046951,False,,0.6531632907695875,0.39327895783565076,18,True,streaks,21,3,0.05,0.002380952380952381,False,False,1.05,0,1.800240320745358,0.5588822355289421,3.03622636798472,2026-09-09T21:39:20.813993+00:00
SPY:up_streak>=3,SPY,5,,100,549,18.214936247723134,44,0.43071087531122443,0.35616795874318513,0.0745429165680393,62.0,59.92714025500911,0.39395127564613486,0.27346153412389024,0.7858076903760843,False,0.7632523786542883,False,,0.042555354701418,0.1289910093892216,36,True,streaks,21,3,0.05,0.002380952380952381,False,False,1.05,0,1.800240320745358,0.5588822355289421,3.03622636798472,2026-09-09T21:39:20.814316+00:00
SPY:down_streak>=3,SPY,5,,39,549,7.103825136612022,25,0.9483530558201648,0.35616795874318513,0.5921850970769794,69.23076923076923,59.92714025500911,0.5847928851805426,1.059133182464032,0.3000828496112815,False,1.5655427469074241,False,,0.7038157841906775,0.4500235436018769,17,True,streaks,21,3,0.05,0.002380952380952381,False,False,1.05,0,1.800240320745358,0.5588822355289421,3.03622636798472,2026-09-09T21:39:20.814332+00:00
