condition,target,horizon,benchmark,n_triggers,n_baseline_days,trigger_rate_pct,effective_independent_n,mean_return_pct,baseline_return_pct,lift_pct,hit_rate_pct,baseline_hit_rate_pct,mean_tradable_pct,t_stat,p_value,below_inference_floor,min_detectable_effect_pct,underpowered,note,in_sample_lift_pct,oos_lift_pct,oos_n_triggers,sign_held_oos,family,family_size,family_untestable_rows,alpha,bonferroni_threshold,survives_bonferroni,survives_bh_fdr,expected_false_positives_at_alpha,n_nominally_significant,family_max_abs_t,family_null_p,family_null_max_abs_t_p95,generated_at
IJH:top10pct_5d_return,IJH,1,SPY,30,510,5.882352941176471,30,-0.2071606856235075,-0.015801557445264715,-0.19135912817824274,30.0,46.666666666666664,-0.15855541074692225,-1.8726658972973576,0.0712283224804666,False,0.2861191415256493,False,,-0.2033888119018692,-0.19714514138237899,18,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524496+00:00
IJH:top1_of_peers_5d,IJH,1,SPY,2,510,0.39215686274509803,2,0.5821730123061086,-0.015801557445264715,0.5979745697513734,50.0,46.666666666666664,0.25905624859249854,,,True,1.7349885125095588,True,"only 2 independent observations — described, not tested",0.6181713727445113,,0,,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524529+00:00
IJH:top10pct_5d_return,IJH,5,SPY,30,506,5.928853754940712,12,-0.3481915366887582,-0.0933884290182595,-0.2548031076704986,36.666666666666664,45.25691699604743,-0.29866248537913237,-0.6548943646942288,0.5259932929138491,False,1.0894103536995718,False,,-0.43086823711086075,-0.19854488309026122,18,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524542+00:00
IJH:top1_of_peers_5d,IJH,5,SPY,2,506,0.3952569169960474,1,-1.2551262835816202,-0.0933884290182595,-1.1617378545633605,0.0,45.25691699604743,-1.5701493781812403,,,True,,True,"only 1 independent observations — described, not tested",-1.0755243012856068,,0,,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524553+00:00
IJH:top10pct_5d_return AND next-session-is-Friday,IJH,1,SPY,3,510,0.5882352941176471,3,-0.4035201499487033,-0.015801557445264715,-0.38771859250343854,33.33333333333333,46.666666666666664,-0.2815295206520907,,,True,1.148630498062644,True,"only 3 independent observations — described, not tested",-1.1438825682399536,-0.026808540820591042,2,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524563+00:00
IJR:top10pct_5d_return,IJR,1,SPY,33,510,6.470588235294118,33,-0.33053825458452024,-0.00909626219750119,-0.32144199238701904,30.303030303030305,46.07843137254902,-0.21494477935296102,-2.603890093040681,0.013860595077529871,False,0.3456511398423266,False,,-0.5074906781613003,-0.20306251576168965,19,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524573+00:00
IJR:top1_of_peers_5d,IJR,1,SPY,17,510,3.3333333333333335,17,-0.16162682225237762,-0.00909626219750119,-0.15253056005487645,41.17647058823529,46.07843137254902,-0.15921010614620082,-0.6229476052793829,0.5420970943690471,False,0.6855882654242045,True,,-0.3350000539084026,0.1967320240554607,6,False,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524583+00:00
IJR:top10pct_5d_return,IJR,5,SPY,33,506,6.521739130434782,16,-0.44063135924475216,-0.055704494307337996,-0.3849268649374143,36.36363636363637,45.059288537549406,-0.3262419333918902,-1.2368644732223881,0.23515295962963,False,0.8713931438395939,False,,-0.48188138650836426,-0.4009774067490843,19,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524592+00:00
IJR:top1_of_peers_5d,IJR,5,SPY,17,506,3.3596837944664033,9,-1.1053073185968703,-0.055704494307337996,-1.0496028242895323,23.52941176470588,45.059288537549406,-1.0969422858622646,-2.5981933921788714,0.031706712301700773,False,1.1311274660529058,True,,-1.15967999325645,-0.7850958221311118,6,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524602+00:00
IJR:top10pct_5d_return AND next-session-is-Friday,IJR,1,SPY,5,510,0.9803921568627451,5,0.01823183809952944,-0.00909626219750119,0.02732810029703062,40.0,46.07843137254902,0.07357194109346432,0.06914609999434937,0.9481920165316217,False,1.106623234541628,True,,-0.53292545536362,0.37998101278219704,3,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524612+00:00
QQQ:top10pct_5d_return,QQQ,1,SPY,46,553,8.318264014466546,46,0.09451020424776659,0.014714396413050085,0.07979580783471653,58.69565217391305,53.52622061482821,0.07826671679317701,1.0146919767022473,0.31567751224922713,False,0.2201931887382701,False,,0.004227526884566998,0.13240358850608902,27,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524621+00:00
QQQ:top1_of_peers_5d,QQQ,1,SPY,5,553,0.9041591320072333,5,0.0846474903732175,0.014714396413050085,0.06993309396016742,40.0,53.52622061482821,0.09523282891235274,0.8045973492470611,0.4661526896798853,False,0.24336727342155612,True,,0.0512182574824611,0.14657497239544864,1,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524630+00:00
QQQ:top10pct_5d_return,QQQ,5,SPY,46,549,8.37887067395264,17,0.26981385488289483,0.05962103516508992,0.21019281971780485,58.69565217391305,54.644808743169406,0.254883552408341,0.8418067619555563,0.41230213540520566,False,0.6991389494694104,False,,-0.31005492839869525,0.5733475378775874,27,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524640+00:00
