model_version,series,kind,field,sign_applied,horizon,mean_ic,median_ic,std_ic,pct_days_ic_positive,n_days,n_names_avg,ic_method,generated_at
v0.4_edgar_pit_fundamentals,leg_profit_margin,quality_leg,profit_margin,direct,5,-0.015560678550340091,-0.022094517946243286,0.08127763400366818,41.01123595505618,534,452.02059925093636,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.908330+00:00
v0.4_edgar_pit_fundamentals,leg_profit_margin,quality_leg,profit_margin,direct,20,-0.024984897566595436,-0.02830454707145691,0.06776861450537987,34.296724470134876,519,451.85163776493255,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.908786+00:00
v0.4_edgar_pit_fundamentals,leg_profit_margin,quality_leg,profit_margin,direct,60,-0.04523243418779751,-0.043764885514974594,0.06026520369205888,26.931106471816285,479,451.3402922755741,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.908921+00:00
v0.4_edgar_pit_fundamentals,leg_profit_margin,quality_leg,profit_margin,direct,120,-0.06638304403397367,-0.08425195515155792,0.06349301792566377,21.957040572792362,419,449.50357995226733,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.909026+00:00
v0.4_edgar_pit_fundamentals,leg_operating_margin,quality_leg,operating_margin,direct,5,,,,,0,0.0,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.909058+00:00
v0.4_edgar_pit_fundamentals,leg_operating_margin,quality_leg,operating_margin,direct,20,,,,,0,0.0,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.909076+00:00
v0.4_edgar_pit_fundamentals,leg_operating_margin,quality_leg,operating_margin,direct,60,,,,,0,0.0,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.909111+00:00
v0.4_edgar_pit_fundamentals,leg_operating_margin,quality_leg,operating_margin,direct,120,,,,,0,0.0,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.909125+00:00
v0.4_edgar_pit_fundamentals,leg_return_on_equity,quality_leg,return_on_equity,direct,5,-0.012584195230503904,-0.014758298173546791,0.07721330863420513,42.32209737827715,534,462.45880149812734,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.909238+00:00
v0.4_edgar_pit_fundamentals,leg_return_on_equity,quality_leg,return_on_equity,direct,20,-0.02311069496126229,-0.03228477016091347,0.07135866852602168,38.72832369942196,519,462.33718689788054,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.909373+00:00
v0.4_edgar_pit_fundamentals,leg_return_on_equity,quality_leg,return_on_equity,direct,60,-0.04010651154309464,-0.047500334680080414,0.06140658698133384,28.60125260960334,479,461.9707724425887,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.909493+00:00
v0.4_edgar_pit_fundamentals,leg_return_on_equity,quality_leg,return_on_equity,direct,120,-0.06526052420428201,-0.07259294390678406,0.04465587109720403,8.83054892601432,419,461.03341288782815,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.909574+00:00
v0.4_edgar_pit_fundamentals,leg_debt_to_equity,quality_leg,debt_to_equity,inverted (lower is better),5,-0.010168000865016527,-0.0066995746456086636,0.06954316403266224,46.441947565543074,534,394.3052434456929,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.909659+00:00
v0.4_edgar_pit_fundamentals,leg_debt_to_equity,quality_leg,debt_to_equity,inverted (lower is better),20,-0.01781424619967662,-0.007687178440392017,0.07216498027516734,45.472061657032754,519,394.17148362235065,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.909737+00:00
v0.4_edgar_pit_fundamentals,leg_debt_to_equity,quality_leg,debt_to_equity,inverted (lower is better),60,-0.02695621461112933,-0.023983577266335487,0.07251292431669266,38.83089770354906,479,393.93528183716074,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.909815+00:00
v0.4_edgar_pit_fundamentals,leg_debt_to_equity,quality_leg,debt_to_equity,inverted (lower is better),120,-0.025707415145597375,-0.02615184150636196,0.05540992918266933,42.482100238663485,419,393.3699284009547,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.909930+00:00
v0.4_edgar_pit_fundamentals,risk_component,component,risk_component,,5,-0.020887262901003404,-0.022672059014439583,0.18868463713023143,46.41350210970464,474,514.964135021097,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.910078+00:00
v0.4_edgar_pit_fundamentals,risk_component,component,risk_component,,20,-0.028844864693739654,-0.015844451263546944,0.1713593282426471,46.62309368191721,459,514.8322440087146,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.910164+00:00
v0.4_edgar_pit_fundamentals,risk_component,component,risk_component,,60,-0.025559998465435073,0.0029573848005384207,0.17453787678747493,51.07398568019092,419,514.4343675417662,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.910239+00:00
v0.4_edgar_pit_fundamentals,risk_component,component,risk_component,,120,-0.0068688831865413935,0.04150243476033211,0.176981808372501,66.29526462395543,359,513.6713091922005,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.910456+00:00
v0.4_edgar_pit_fundamentals,quality_component,component,quality_component,,5,-0.0173555437654971,-0.01964965369552374,0.08055660892040205,42.69662921348314,534,493.1479400749064,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.910593+00:00
v0.4_edgar_pit_fundamentals,quality_component,component,quality_component,,20,-0.026675859491667966,-0.03371989354491234,0.07173430813015687,36.60886319845857,519,492.9884393063584,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.910685+00:00
v0.4_edgar_pit_fundamentals,quality_component,component,quality_component,,60,-0.039960941966875344,-0.04735944792628288,0.06029579909701489,23.59081419624217,479,492.56993736951983,mean_daily_cross_sectional_spearman,2026-08-18T00:37:07.910776+00:00
