predictor,horizon,n_sectors,ic_mean,ic_median,ic_std,pct_days_positive,n_days,overlap_adjusted_t,effective_independent_n,min_detectable_ic,first_half_ic,first_half_t,second_half_ic,second_half_t,sign_held_both_halves,start_date,end_date,generated_at,p_value,family_size,survives_bh_fdr,n_nominally_significant,expected_false_positives_at_alpha
momentum_20d,5,12,-0.01469541169337196,-0.01818181818181818,0.42100372330085095,48.4748201438849,6950,-1.3013772813394293,1390.0,0.03161815818629568,-0.01371307800805662,-0.8308543514789176,-0.015732367896533886,-1.0255247977249617,True,1993-01-29,2026-09-16,2026-09-16T18:11:11.735628+00:00,0.19334515656250084,16,False,1,0.8
momentum_20d,20,12,-0.014946594285223198,-0.009090909090909092,0.41398208430211714,48.7238644556597,6935,-0.6723090140736097,346.8,0.062248851528923316,-0.0031589273711412898,-0.0994138494205459,-0.02744516327404028,-0.8851513244669529,True,1993-01-29,2026-09-16,2026-09-16T18:11:15.185769+00:00,0.5018359532551069,16,False,1,0.8
momentum_20d,60,12,-0.020031263194758293,-0.02097902097902098,0.4029269668529161,47.88977519941987,6895,-0.5329341038550253,114.9,0.10524291190901303,-0.02726846571405235,-0.5180162718290778,-0.012265305350091881,-0.2285677131894813,True,1993-01-29,2026-09-16,2026-09-16T18:11:18.907757+00:00,0.5951174765908025,16,False,1,0.8
momentum_20d,120,12,0.0011255777216991544,0.006060606060606061,0.39875006509931454,50.56327724945135,6835,0.021303617608242946,57.0,0.1479381426532077,-0.015530761276210978,-0.20933850508237234,0.01932719250539214,0.25753958814753897,False,1993-01-29,2026-09-16,2026-09-16T18:11:22.161814+00:00,0.9830791852006048,16,False,1,0.8
momentum_60d,5,12,-0.005146709822074589,0.006060606060606061,0.42833907848664915,50.101302460202604,6910,-0.4466794846205923,1382.0,0.032262031272936816,-0.004192451078453291,-0.2508060797991812,-0.006142740317856766,-0.38834752302532793,True,1993-01-29,2026-09-16,2026-09-16T18:11:25.697768+00:00,0.6551765320600156,16,False,1,0.8
momentum_60d,20,12,-0.01541579176808834,-0.013986013986013986,0.4177700085976461,48.934010152284266,6895,-0.6851421934423257,344.8,0.06300037767894504,-0.02144245934245505,-0.6622017376817357,-0.009097280220274867,-0.2918538670051648,True,1993-01-29,2026-09-16,2026-09-16T18:11:29.223876+00:00,0.4937158670146614,16,False,1,0.8
momentum_60d,60,12,-0.007566656538210146,-0.01818181818181818,0.4038719244324891,48.242159008023336,6855,-0.20025734855048608,114.2,0.10579705793741263,-0.011137280590383453,-0.2079795541900595,-0.003778102034265588,-0.07093658713069495,True,1993-01-29,2026-09-16,2026-09-16T18:11:33.297465+00:00,0.8416386458816065,16,False,1,0.8
momentum_60d,120,12,0.02106864928056981,0.0303030303030303,0.4080536620119763,52.553348050036796,6795,0.38852907264268927,56.6,0.15183475868187513,-0.01401694555562507,-0.18105384408525302,0.058979569114290496,0.7859949477154992,False,1993-01-29,2026-09-16,2026-09-16T18:11:36.148704+00:00,0.6991083696185036,16,False,1,0.8
momentum_120d,5,12,0.011937332776306606,0.01818181818181818,0.4386676747807995,51.51824817518248,6850,1.0072376516096633,1370.0,0.033184354973469124,0.003035859634152244,0.1776488099957242,0.02107049170269923,1.2847889682261795,True,1993-01-29,2026-09-16,2026-09-16T18:11:38.978335+00:00,0.31399857533570286,16,False,1,0.8
momentum_120d,20,12,0.004198632010756499,0.01818181818181818,0.4210513460594234,51.6020482809071,6835,0.18434315414811808,341.8,0.0637732910909847,-0.015386032020257763,-0.4622348795985072,0.024382589088471445,0.7878789743295186,False,1993-01-29,2026-09-16,2026-09-16T18:11:41.930460+00:00,0.8538539040444972,16,False,1,0.8
