ticker,sector,benchmark,notes,size_bucket
NVDA,Semiconductors,SMH,core,large
AVGO,Semiconductors,SMH,core,large
MU,Semiconductors,SMH,core,large
TSM,Semiconductors,SMH,,large
AMD,Semiconductors,SMH,,large
ARM,Semiconductors,SMH,,large
QCOM,Semiconductors,SMH,,large
TXN,Semiconductors,SMH,,large
LRCX,Semiconductors,SMH,,large
AMAT,Semiconductors,SMH,,large
KLAC,Semiconductors,SMH,,large
MRVL,Semiconductors,SMH,,large
ADI,Semiconductors,SMH,,large
ON,Semiconductors,SMH,,large
MSFT,Tech-Software,QQQ,watchlist,large
GOOGL,Tech-Software,QQQ,watchlist,large
AMZN,Tech-Software,QQQ,,large
META,Tech-Software,QQQ,,large
ORCL,Tech-Software,QQQ,,large
NOW,Tech-Software,QQQ,core,large
CRM,Tech-Software,QQQ,,large
CRWD,Tech-Software,QQQ,,large
PLTR,Tech-Software,QQQ,,large
PANW,Tech-Software,QQQ,,large
ADBE,Tech-Software,QQQ,,large
SNOW,Tech-Software,QQQ,,large
VRT,Industrials-Power,XLI,core,large
ETN,Industrials-Power,XLI,,large
GEV,Industrials-Power,XLI,,large
PWR,Industrials-Power,XLI,,large
CEG,Utilities-Power,XLU,nuclear,large
VST,Utilities-Power,XLU,nuclear,large
NEE,Utilities-Power,XLU,,large
DUK,Utilities-Power,XLU,,large
SO,Utilities-Power,XLU,,large
JPM,Financials,XLF,,large
GS,Financials,XLF,,large
MS,Financials,XLF,,large
BAC,Financials,XLF,,large
V,Financials,XLF,,large
MA,Financials,XLF,,large
LLY,Healthcare,XLV,,large
UNH,Healthcare,XLV,,large
JNJ,Healthcare,XLV,,large
ABBV,Healthcare,XLV,,large
MRK,Healthcare,XLV,,large
XOM,Energy,XLE,,large
CVX,Energy,XLE,,large
COP,Energy,XLE,,large
SLB,Energy,XLE,,large
SMH,Index,SPY,benchmark,large
QQQ,Index,SPY,benchmark,large
XLI,Index,SPY,benchmark,large
XLU,Index,SPY,benchmark,large
XLF,Index,SPY,benchmark,large
XLV,Index,SPY,benchmark,large
XLE,Index,SPY,benchmark,large
SPY,Index,SPY,benchmark,large
MMM,Industrials,XLI,sp500_auto,large
AOS,Industrials,XLI,sp500_auto,large
ABT,Health Care,XLV,sp500_auto,large
ACN,Information Technology,QQQ,sp500_auto,large
AES,Utilities,XLU,sp500_auto,large
AFL,Financials,XLF,sp500_auto,large
A,Health Care,XLV,sp500_auto,large
APD,Materials,XLB,sp500_auto,large
ABNB,Consumer Discretionary,XLY,sp500_auto,large
AKAM,Information Technology,QQQ,sp500_auto,large
ALB,Materials,XLB,sp500_auto,large
ARE,Real Estate,XLRE,sp500_auto,large
ALGN,Health Care,XLV,sp500_auto,large
ALLE,Industrials,XLI,sp500_auto,large
LNT,Utilities,XLU,sp500_auto,large
ALL,Financials,XLF,sp500_auto,large
GOOG,Communication Services,XLC,sp500_auto,large
MO,Consumer Staples,XLP,sp500_auto,large
AMCR,Materials,XLB,sp500_auto,large
AEE,Utilities,XLU,sp500_auto,large
AEP,Utilities,XLU,sp500_auto,large
AXP,Financials,XLF,sp500_auto,large
AIG,Financials,XLF,sp500_auto,large
AMT,Real Estate,XLRE,sp500_auto,large
AWK,Utilities,XLU,sp500_auto,large
AMP,Financials,XLF,sp500_auto,large
AME,Industrials,XLI,sp500_auto,large
AMGN,Health Care,XLV,sp500_auto,large
APH,Information Technology,QQQ,sp500_auto,large
AON,Financials,XLF,sp500_auto,large
APA,Energy,XLE,sp500_auto,large
APO,Financials,XLF,sp500_auto,large
AAPL,Information Technology,QQQ,sp500_auto,large
APP,Information Technology,QQQ,sp500_auto,large
APTV,Consumer Discretionary,XLY,sp500_auto,large
ACGL,Financials,XLF,sp500_auto,large
ADM,Consumer Staples,XLP,sp500_auto,large
ARES,Financials,XLF,sp500_auto,large
ANET,Information Technology,QQQ,sp500_auto,large
AJG,Financials,XLF,sp500_auto,large
AIZ,Financials,XLF,sp500_auto,large
T,Communication Services,XLC,sp500_auto,large
ATO,Utilities,XLU,sp500_auto,large
ADSK,Information Technology,QQQ,sp500_auto,large
ADP,Industrials,XLI,sp500_auto,large
AZO,Consumer Discretionary,XLY,sp500_auto,large
AVB,Real Estate,XLRE,sp500_auto,large
AVY,Materials,XLB,sp500_auto,large
AXON,Industrials,XLI,sp500_auto,large
BKR,Energy,XLE,sp500_auto,large
BALL,Materials,XLB,sp500_auto,large
BAX,Health Care,XLV,sp500_auto,large
BDX,Health Care,XLV,sp500_auto,large
BRK-B,Financials,XLF,sp500_auto,large
BBY,Consumer Discretionary,XLY,sp500_auto,large
TECH,Health Care,XLV,sp500_auto,large
BIIB,Health Care,XLV,sp500_auto,large
BLK,Financials,XLF,sp500_auto,large
BX,Financials,XLF,sp500_auto,large
XYZ,Financials,XLF,sp500_auto,large
BNY,Financials,XLF,sp500_auto,large
BA,Industrials,XLI,sp500_auto,large
BKNG,Consumer Discretionary,XLY,sp500_auto,large
BSX,Health Care,XLV,sp500_auto,large
BMY,Health Care,XLV,sp500_auto,large
BR,Industrials,XLI,sp500_auto,large
BRO,Financials,XLF,sp500_auto,large
BF-B,Consumer Staples,XLP,sp500_auto,large
BLDR,Industrials,XLI,sp500_auto,large
BG,Consumer Staples,XLP,sp500_auto,large
BXP,Real Estate,XLRE,sp500_auto,large
CHRW,Industrials,XLI,sp500_auto,large
CDNS,Information Technology,QQQ,sp500_auto,large
CPT,Real Estate,XLRE,sp500_auto,large
COF,Financials,XLF,sp500_auto,large
CAH,Health Care,XLV,sp500_auto,large
CCL,Consumer Discretionary,XLY,sp500_auto,large
CARR,Industrials,XLI,sp500_auto,large
CVNA,Consumer Discretionary,XLY,sp500_auto,large
CASY,Consumer Staples,XLP,sp500_auto,large
CAT,Industrials,XLI,sp500_auto,large
CBOE,Financials,XLF,sp500_auto,large
CBRE,Real Estate,XLRE,sp500_auto,large
CDW,Information Technology,QQQ,sp500_auto,large
COR,Health Care,XLV,sp500_auto,large
CNC,Health Care,XLV,sp500_auto,large
CNP,Utilities,XLU,sp500_auto,large
CF,Materials,XLB,sp500_auto,large
CRL,Health Care,XLV,sp500_auto,large
SCHW,Financials,XLF,sp500_auto,large
CHTR,Communication Services,XLC,sp500_auto,large
CMG,Consumer Discretionary,XLY,sp500_auto,large
CB,Financials,XLF,sp500_auto,large
CHD,Consumer Staples,XLP,sp500_auto,large
CIEN,Information Technology,QQQ,sp500_auto,large
CI,Health Care,XLV,sp500_auto,large
CINF,Financials,XLF,sp500_auto,large
CTAS,Industrials,XLI,sp500_auto,large
CSCO,Information Technology,QQQ,sp500_auto,large
C,Financials,XLF,sp500_auto,large
CFG,Financials,XLF,sp500_auto,large
CLX,Consumer Staples,XLP,sp500_auto,large
CME,Financials,XLF,sp500_auto,large
CMS,Utilities,XLU,sp500_auto,large
KO,Consumer Staples,XLP,sp500_auto,large
CTSH,Information Technology,QQQ,sp500_auto,large
COHR,Information Technology,QQQ,sp500_auto,large
COIN,Financials,XLF,sp500_auto,large
CL,Consumer Staples,XLP,sp500_auto,large
CMCSA,Communication Services,XLC,sp500_auto,large
FIX,Industrials,XLI,sp500_auto,large
CAG,Consumer Staples,XLP,sp500_auto,large
ED,Utilities,XLU,sp500_auto,large
STZ,Consumer Staples,XLP,sp500_auto,large
COO,Health Care,XLV,sp500_auto,large
CPRT,Industrials,XLI,sp500_auto,large
GLW,Information Technology,QQQ,sp500_auto,large
CPAY,Financials,XLF,sp500_auto,large
CTVA,Materials,XLB,sp500_auto,large
CSGP,Real Estate,XLRE,sp500_auto,large
COST,Consumer Staples,XLP,sp500_auto,large
CRH,Materials,XLB,sp500_auto,large
CCI,Real Estate,XLRE,sp500_auto,large
CSX,Industrials,XLI,sp500_auto,large
CMI,Industrials,XLI,sp500_auto,large
CVS,Health Care,XLV,sp500_auto,large
DHR,Health Care,XLV,sp500_auto,large
DRI,Consumer Discretionary,XLY,sp500_auto,large
DDOG,Information Technology,QQQ,sp500_auto,large
DVA,Health Care,XLV,sp500_auto,large
DECK,Consumer Discretionary,XLY,sp500_auto,large
DE,Industrials,XLI,sp500_auto,large
DELL,Information Technology,QQQ,sp500_auto,large
DAL,Industrials,XLI,sp500_auto,large
DVN,Energy,XLE,sp500_auto,large
DXCM,Health Care,XLV,sp500_auto,large
FANG,Energy,XLE,sp500_auto,large
DLR,Real Estate,XLRE,sp500_auto,large
DG,Consumer Staples,XLP,sp500_auto,large
DLTR,Consumer Staples,XLP,sp500_auto,large
D,Utilities,XLU,sp500_auto,large
DPZ,Consumer Discretionary,XLY,sp500_auto,large
DASH,Consumer Discretionary,XLY,sp500_auto,large
DOV,Industrials,XLI,sp500_auto,large
DOW,Materials,XLB,sp500_auto,large
DHI,Consumer Discretionary,XLY,sp500_auto,large
DTE,Utilities,XLU,sp500_auto,large
DD,Materials,XLB,sp500_auto,large
EBAY,Consumer Discretionary,XLY,sp500_auto,large
ECHO,Communication Services,XLC,sp500_auto,large
ECL,Materials,XLB,sp500_auto,large
EIX,Utilities,XLU,sp500_auto,large
EW,Health Care,XLV,sp500_auto,large
EA,Communication Services,XLC,sp500_auto,large
ELV,Health Care,XLV,sp500_auto,large
EME,Industrials,XLI,sp500_auto,large
EMR,Industrials,XLI,sp500_auto,large
ETR,Utilities,XLU,sp500_auto,large
EOG,Energy,XLE,sp500_auto,large
EQT,Energy,XLE,sp500_auto,large
EFX,Industrials,XLI,sp500_auto,large
EQIX,Real Estate,XLRE,sp500_auto,large
EQR,Real Estate,XLRE,sp500_auto,large
ERIE,Financials,XLF,sp500_auto,large
ESS,Real Estate,XLRE,sp500_auto,large
EL,Consumer Staples,XLP,sp500_auto,large
EG,Financials,XLF,sp500_auto,large
EVRG,Utilities,XLU,sp500_auto,large
ES,Utilities,XLU,sp500_auto,large
EXC,Utilities,XLU,sp500_auto,large
EXE,Energy,XLE,sp500_auto,large
EXPE,Consumer Discretionary,XLY,sp500_auto,large
EXPD,Industrials,XLI,sp500_auto,large
EXR,Real Estate,XLRE,sp500_auto,large
FFIV,Information Technology,QQQ,sp500_auto,large
FDS,Financials,XLF,sp500_auto,large
FICO,Information Technology,QQQ,sp500_auto,large
FAST,Industrials,XLI,sp500_auto,large
FRT,Real Estate,XLRE,sp500_auto,large
FDX,Industrials,XLI,sp500_auto,large
FDXF,Industrials,XLI,sp500_auto,large
FIS,Financials,XLF,sp500_auto,large
FITB,Financials,XLF,sp500_auto,large
FSLR,Semiconductors,SMH,sp500_auto,large
FE,Utilities,XLU,sp500_auto,large
FISV,Financials,XLF,sp500_auto,large
FLEX,Information Technology,QQQ,sp500_auto,large
F,Consumer Discretionary,XLY,sp500_auto,large
FTNT,Information Technology,QQQ,sp500_auto,large
FTV,Industrials,XLI,sp500_auto,large
FOXA,Communication Services,XLC,sp500_auto,large
FOX,Communication Services,XLC,sp500_auto,large
BEN,Financials,XLF,sp500_auto,large
FCX,Materials,XLB,sp500_auto,large
GRMN,Consumer Discretionary,XLY,sp500_auto,large
IT,Information Technology,QQQ,sp500_auto,large
GE,Industrials,XLI,sp500_auto,large
GEHC,Health Care,XLV,sp500_auto,large
GEN,Information Technology,QQQ,sp500_auto,large
GNRC,Industrials,XLI,sp500_auto,large
GD,Industrials,XLI,sp500_auto,large
GIS,Consumer Staples,XLP,sp500_auto,large
GM,Consumer Discretionary,XLY,sp500_auto,large
GPC,Consumer Discretionary,XLY,sp500_auto,large
GILD,Health Care,XLV,sp500_auto,large
GPN,Financials,XLF,sp500_auto,large
GL,Financials,XLF,sp500_auto,large
GDDY,Information Technology,QQQ,sp500_auto,large
HAL,Energy,XLE,sp500_auto,large
HIG,Financials,XLF,sp500_auto,large
HAS,Consumer Discretionary,XLY,sp500_auto,large
HCA,Health Care,XLV,sp500_auto,large
DOC,Real Estate,XLRE,sp500_auto,large
HSIC,Health Care,XLV,sp500_auto,large
HSY,Consumer Staples,XLP,sp500_auto,large
HPE,Information Technology,QQQ,sp500_auto,large
HLT,Consumer Discretionary,XLY,sp500_auto,large
HD,Consumer Discretionary,XLY,sp500_auto,large
HON,Industrials,XLI,sp500_auto,large
HRL,Consumer Staples,XLP,sp500_auto,large
HST,Real Estate,XLRE,sp500_auto,large
HWM,Industrials,XLI,sp500_auto,large
HPQ,Information Technology,QQQ,sp500_auto,large
HUBB,Industrials,XLI,sp500_auto,large
HUM,Health Care,XLV,sp500_auto,large
HBAN,Financials,XLF,sp500_auto,large
HII,Industrials,XLI,sp500_auto,large
IBM,Information Technology,QQQ,sp500_auto,large
IEX,Industrials,XLI,sp500_auto,large
IDXX,Health Care,XLV,sp500_auto,large
ITW,Industrials,XLI,sp500_auto,large
